Date,Open,High,Low,Close,Adj Close,Volume
2014-09-05,90.139999,90.940002,90.099998,90.940002,84.195000,4597100
2014-09-08,90.760002,90.839996,90.160004,90.559998,83.843163,4331200
2014-09-09,90.500000,90.540001,89.510002,89.599998,82.954369,4797700
2014-09-10,89.540001,89.820000,88.750000,89.519997,82.880287,5078600
2014-09-11,89.199997,90.040001,89.059998,89.970001,83.296936,4065500
2014-09-12,90.099998,90.199997,89.250000,89.669998,83.019180,3870200
2014-09-15,89.739998,90.370003,89.559998,90.080002,83.398766,4910000
2014-09-16,89.709999,90.430000,89.459999,90.269997,83.574684,4324600
2014-09-17,90.580002,90.769997,89.970001,90.330002,83.630241,4058100
2014-09-18,90.309998,90.500000,89.910004,90.339996,83.639488,4343600
2014-09-19,90.800003,91.150002,90.389999,90.489998,83.778358,13382900
2014-09-22,90.489998,90.610001,89.190002,89.290001,82.667366,5003000
2014-09-23,89.120003,89.239998,88.230003,88.309998,81.760048,6155800
2014-09-24,88.360001,89.639999,88.239998,89.449997,82.815491,5607000
2014-09-25,89.260002,89.599998,88.059998,88.070000,81.537857,7077400
2014-09-26,88.150002,88.889999,87.910004,88.739998,82.158157,5786400
2014-09-29,88.120003,89.050003,87.360001,88.830002,82.241493,5188600
2014-09-30,88.839996,89.540001,88.540001,89.029999,82.426651,4824500
2014-10-01,89.080002,89.239998,87.199997,87.489998,81.000877,7512500
2014-10-02,87.500000,87.660004,84.650002,86.790001,80.352798,11051100
2014-10-03,88.099998,88.900002,87.550003,88.449997,81.889656,7549000
2014-10-06,88.790001,89.180000,88.070000,88.559998,81.991516,4047800
2014-10-07,88.000000,88.260002,87.040001,87.110001,80.649048,6217600
2014-10-08,87.059998,88.150002,86.330002,88.110001,81.574890,7008000
2014-10-09,88.029999,88.160004,85.570000,85.709999,79.352882,8726200
2014-10-10,85.919998,87.000000,85.400002,86.269997,79.871368,12675300
2014-10-13,85.919998,86.389999,83.760002,83.910004,77.686401,9039800
2014-10-14,84.750000,85.519997,83.900002,84.139999,77.899338,8607100
2014-10-15,82.389999,83.760002,78.540001,82.080002,75.992134,21844400
2014-10-16,79.930000,82.470001,79.550003,81.739998,75.677345,13216500
2014-10-17,82.680000,84.660004,82.680000,83.830002,77.612328,12381800
2014-10-20,84.230003,85.610001,84.150002,85.519997,79.176971,8302100
2014-10-21,86.320000,87.680000,86.250000,87.540001,81.047173,9170400
2014-10-22,87.940002,88.610001,86.980003,87.099998,80.639801,9314500
2014-10-23,88.209999,88.629997,87.760002,87.989998,81.463799,7245300
2014-10-24,87.910004,88.660004,87.580002,88.610001,82.037796,4937500
2014-10-27,88.470001,88.989998,88.239998,88.449997,81.889656,5644300
2014-10-28,89.040001,89.959999,88.949997,89.930000,83.259903,4554400
2014-10-29,89.839996,90.250000,88.949997,89.529999,82.889557,5442100
2014-10-30,89.440002,90.540001,88.910004,90.220001,83.528404,4445300
2014-10-31,91.510002,91.980003,90.750000,91.379997,84.602356,7472200
2014-11-03,91.239998,91.820000,91.000000,91.709999,84.907867,5447700
2014-11-04,91.970001,91.980003,89.800003,90.349998,83.648743,7928500
2014-11-05,91.599998,91.599998,89.589996,91.000000,84.250542,7021000
2014-11-06,91.290001,92.000000,91.150002,92.000000,85.176376,9938800
2014-11-07,89.389999,90.019997,88.650002,90.000000,83.324715,16176300
2014-11-10,90.239998,90.419998,88.949997,89.779999,83.121017,8155700
2014-11-11,90.010002,90.029999,89.129997,89.980003,83.306190,5896800
2014-11-12,89.769997,90.120003,89.330002,89.900002,83.232117,5262500
2014-11-13,90.099998,90.709999,90.029999,90.489998,83.778358,5098800
2014-11-14,90.680000,90.849998,90.379997,90.800003,84.065376,4281100
2014-11-17,90.500000,90.779999,90.050003,90.410004,83.704300,4148400
2014-11-18,90.330002,90.690002,90.129997,90.279999,83.583931,4461600
2014-11-19,90.260002,90.279999,89.190002,89.820000,83.158043,7710000
2014-11-20,89.250000,89.459999,88.750000,88.900002,82.306282,8604000
2014-11-21,89.690002,89.800003,88.760002,88.959999,82.361847,7383500
2014-11-24,89.320000,90.660004,89.320000,90.580002,83.861687,6504100
2014-11-25,90.709999,91.919998,90.709999,91.650002,84.852333,7404200
2014-11-26,91.959999,92.279999,91.669998,91.919998,85.102303,4607200
2014-11-28,92.529999,92.959999,92.230003,92.510002,85.648537,3853000
2014-12-01,92.629997,93.139999,92.099998,92.699997,85.824432,6714700
2014-12-02,92.650002,93.809998,92.419998,93.470001,86.537338,6664200
2014-12-03,93.540001,93.660004,92.500000,93.110001,86.204048,5492400
2014-12-04,93.610001,93.629997,92.570000,93.230003,86.315132,6017300
2014-12-05,93.690002,93.980003,93.339996,93.760002,86.805840,5226800
2014-12-08,94.209999,94.500000,93.410004,93.800003,86.842865,6682200
2014-12-09,93.510002,93.570000,91.760002,92.940002,86.046646,9519900
2014-12-10,92.519997,92.830002,91.550003,91.629997,84.833794,10346100
2014-12-11,91.089996,92.660004,90.660004,91.750000,86.024567,8227800
2014-12-12,91.180000,92.610001,90.949997,91.489998,85.780785,7890900
2014-12-15,92.029999,92.690002,90.190002,90.900002,85.227585,6746800
2014-12-16,90.500000,92.000000,90.129997,90.169998,84.543152,6549400
2014-12-17,90.360001,91.680000,90.199997,91.379997,85.677658,6885900
2014-12-18,92.190002,92.610001,91.860001,92.610001,86.830894,9387500
2014-12-19,92.339996,93.199997,91.879997,92.889999,87.093422,12837900
2014-12-22,93.389999,94.360001,93.220001,94.199997,88.321678,7477500
2014-12-23,94.480003,95.070000,94.400002,94.690002,88.781097,5385800
2014-12-24,94.690002,95.120003,94.370003,94.419998,88.527931,2165700
2014-12-26,94.739998,95.309998,94.519997,95.029999,89.099876,3142400
2014-12-29,94.739998,95.930000,94.690002,95.500000,89.540543,3584400
2014-12-30,95.209999,95.500000,94.500000,94.699997,88.790459,3490100
2014-12-31,95.129997,95.519997,94.029999,94.190002,88.312309,4797000
2015-01-02,94.910004,95.279999,92.849998,93.750000,87.899757,5865400
2015-01-05,93.279999,93.349998,91.779999,92.379997,86.615250,7789400
2015-01-06,92.570000,93.190002,91.160004,91.889999,86.155815,6793100
2015-01-07,92.720001,93.150002,92.099998,92.830002,87.037170,6589500
2015-01-08,93.870003,94.300003,93.559998,93.790001,87.937256,7579400
2015-01-09,94.050003,95.269997,93.989998,94.250000,88.368538,8621300
2015-01-12,94.690002,94.760002,93.769997,94.459999,88.565445,6586200
2015-01-13,95.279999,96.430000,94.699997,95.190002,89.249893,9364300
2015-01-14,94.000000,94.800003,93.290001,94.230003,88.349800,6509300
2015-01-15,94.610001,94.959999,94.040001,94.349998,88.462303,5662200
2015-01-16,94.000000,95.230003,93.980003,95.180000,89.240509,6117000
2015-01-20,95.220001,95.389999,93.750000,94.739998,88.827972,7940600
2015-01-21,94.370003,94.739998,93.820000,94.169998,88.293541,7474700
2015-01-22,94.580002,95.389999,94.010002,95.150002,89.212387,7014200
2015-01-23,94.919998,95.529999,94.430000,94.720001,88.809227,4664700
2015-01-26,94.449997,95.000000,93.930000,94.970001,89.043633,5446900
2015-01-27,93.940002,94.739998,93.360001,93.970001,88.106026,5390000
2015-01-28,94.139999,94.470001,92.610001,92.669998,86.887146,6198400
2015-01-29,93.110001,93.500000,91.519997,93.220001,87.402824,7681700
2015-01-30,92.500000,92.940002,90.830002,90.959999,85.283859,10212300
2015-02-02,91.300003,92.050003,90.059998,91.930000,86.193321,9392000
2015-02-03,92.430000,94.110001,92.190002,94.099998,88.227913,12329100
2015-02-04,99.389999,101.940002,98.820000,101.279999,94.959846,32640500
2015-02-05,100.760002,102.839996,100.510002,102.639999,96.234978,14089500
2015-02-06,102.669998,102.989998,101.650002,102.019997,95.653679,8535200
2015-02-09,101.800003,102.500000,101.449997,101.730003,95.381798,5461800
2015-02-10,101.959999,102.190002,101.180000,101.919998,95.559921,5726300
2015-02-11,102.010002,102.019997,101.070000,101.870003,95.513039,5868200
2015-02-12,102.160004,103.849998,101.699997,103.580002,97.116333,6816800
2015-02-13,103.730003,104.410004,103.430000,104.169998,97.669510,5175600
2015-02-17,104.230003,104.449997,103.570000,104.120003,97.622643,4759300
